,id,game_id,value,external_popularity_source
286,1203,2117,0.000406415697097,IGDB
287,3571564,2117,0.002758951494705,Steam
288,3571795,2117,0.003097602142389,Steam
289,2474426,2117,0.00690543507259,Steam
290,612218,2117,0.0052138033569,Steam
291,930928,2117,0.000242026824621,Steam
292,4578346,2117,0.004176577884419,Twitch
293,92528,2117,0.000182308528896,IGDB
294,3875605,2117,0.000107516516761,IGDB
295,3495428,2117,0.000128004995317,IGDB
296,1206,2126,0.000236288195987,IGDB
297,3572312,2126,0.000479731927233,Steam
298,2474701,2126,8.1413563015e-05,Steam
299,3572056,2126,0.000523989404325,Steam
300,613229,2126,0.000203170440011,Steam
301,934309,2126,0.000161971798016,Steam
302,4580381,2126,2.974804747e-06,Twitch
303,92534,2126,0.000358330556795,IGDB
304,3495434,2126,0.000162347798938,IGDB
305,3875608,2126,2.9659728762e-05,IGDB
306,1207,2129,0.000103966806234,IGDB
307,92532,2129,0.000230243098994,IGDB
308,3572900,2129,0.00012828098453,Steam
309,2475039,2129,3.72602119e-07,Steam
310,3573170,2129,0.000114011387575,Steam
311,615314,2129,2.4841800525e-05,Steam
312,4786350,2129,2.39903609e-07,Twitch
313,3875609,2129,1.8537330476e-05,IGDB
314,3495435,2129,0.000109272556978,IGDB
315,1210,2132,0.000160675973271,IGDB
316,92536,2132,0.000379547497658,IGDB
317,2475040,2132,3.968212568e-05,Steam
318,3573190,2132,0.000434699013033,Steam
319,3572920,2132,0.000478539852384,Steam
320,613348,2132,0.000160741062223,Steam
321,936375,2132,0.000150418028786,Steam
322,3818146,2132,5.613744442e-06,Twitch
323,3875611,2132,8.527172019e-05,IGDB
324,3495439,2132,0.000142054324071,IGDB
325,1320,2355,3.7806111358e-05,IGDB
326,3572815,2355,6.5610378546e-05,Steam
327,3573086,2355,5.8956760094e-05,Steam
328,2475168,2355,3.726021191e-06,Steam
329,616385,2355,1.7378822636e-05,Steam
330,4585612,2355,1.43942165e-07,Twitch
331,92732,2355,0.000123372582055,IGDB
332,4037506,2355,1.1122398286e-05,IGDB
333,3495635,2355,5.6197315017e-05,IGDB
334,1322,2358,3.7806111358e-05,IGDB
335,3571627,2358,0.000451121462266,Steam
336,2474468,2358,5.961633905e-06,Steam
337,3571880,2358,0.0004711645143,Steam
338,612391,2358,0.000596411967235,Steam
339,4660218,2358,2.3107538459e-05,Steam
340,92733,2358,0.000172878777401,IGDB
341,3875740,2358,7.41493219e-06,IGDB
342,3495634,2358,4.6831095848e-05,IGDB
343,1354,2480,0.000103966806234,IGDB
344,92834,2480,0.000240458663113,IGDB
345,3572929,2480,5.2773928467e-05,Steam
346,3573201,2480,5.0079768374e-05,Steam
347,2475212,2480,7.452042381e-06,Steam
348,615078,2480,3.3244174232e-05,Steam
349,4581986,2480,1.91922887e-07,Twitch
350,3875782,2480,3.3367194857e-05,IGDB
351,3495706,2480,0.00010771152045,IGDB
352,1397,2599,2.8354583518e-05,IGDB
353,3572971,2599,0.000257619947057,Steam
354,2475059,2599,2.9249266346e-05,Steam
355,3572704,2599,0.000285007609251,Steam
356,614671,2599,8.647660393e-05,Steam
357,933059,2599,0.000170596057038,Steam
358,4582151,2599,7.724896199e-06,Twitch
359,92928,2599,0.000249102601983,IGDB
360,3495802,2599,5.3075241961e-05,IGDB
361,3875836,2599,1.8537330476e-05,IGDB
362,1402,2605,0.000151224445432,IGDB
363,3572396,2605,0.000515585470434,Steam
364,2474682,2605,1.4531482643e-05,Steam
365,3572142,2605,0.000581415188806,Steam
366,612475,2605,0.000104220747162,Steam
367,931337,2605,0.000230883734393,Steam
368,4579349,2605,3.022785469e-06,Twitch
369,92933,2605,0.000221599160123,IGDB
370,3875842,2605,3.707466095e-06,IGDB
371,3495805,2605,8.2734935998e-05,IGDB
372,93163,2853,0.000418052316261,IGDB
373,1481,2853,0.000122869861913,IGDB
374,2475023,2853,9.31505298e-07,Steam
375,3573489,2853,7.0274384574e-05,Steam
376,3573269,2853,7.6175186192e-05,Steam
377,614774,2853,3.3400740202e-05,Steam
378,4587070,2853,4.7980722e-08,Twitch
379,3875958,2853,1.8537330476e-05,IGDB
380,3496025,2853,0.000177958164221,IGDB
381,93231,2935,0.000620006160771,IGDB
382,1514,2935,0.000378061113579,IGDB
383,3572167,2935,0.000602720188255,Steam
384,2474723,2935,7.7501240765e-05,Steam
385,3572422,2935,0.000534109801087,Steam
386,613528,2935,0.000105368897606,Steam
387,932219,2935,0.000212895994147,Steam
388,4579819,2935,1.8184693536e-05,Twitch
389,3876008,2935,5.1904525333e-05,IGDB
390,3496085,2935,0.000254448954106,IGDB
391,1518,2943,9.4515278395e-05,IGDB
392,3573974,2943,8.4630200868e-05,Steam
393,2475480,2943,6.520537084e-06,Steam
394,3573658,2943,9.2185254378e-05,Steam
395,615448,2943,3.7419266758e-05,Steam
396,936339,2943,8.1423956609e-05,Steam
397,4586798,2943,7.197108259e-06,Twitch
398,93235,2943,0.000135159771423,IGDB
399,3876012,2943,1.8537330476e-05,IGDB
400,3496093,2943,7.3368716828e-05,IGDB
401,93240,2948,2.2788566112e-05,IGDB
402,3573753,2948,0.000182997060456,Steam
403,3573514,2948,8.8894713499e-05,Steam
404,2475451,2948,5.589031786e-06,Steam
405,615598,2948,0.000771035212104,Steam
406,4588450,2948,9.5961443e-08,Twitch
407,3496097,2948,6.244146113e-06,IGDB
408,1525,2956,4.7257639197e-05,IGDB
409,3573830,2956,7.8906593068e-05,Steam
410,3573562,2956,8.7608563003e-05,Steam
411,93246,2956,0.000150090211289,IGDB
412,2475310,2956,2.049311655e-06,Steam
413,616435,2956,2.4528668586e-05,Steam
414,3496102,2956,3.2781767093e-05,IGDB
415,4077421,2956,1.1122398286e-05,IGDB
416,93264,2974,9.4297514946e-05,IGDB
417,1534,2974,9.451527839e-06,IGDB
418,2475128,2974,2.049311655e-06,Steam
419,3573211,2974,0.000118741463455,Steam
420,3572939,2974,0.000113298166415,Steam
421,614604,2974,0.000152756197768,Steam
