id,game_id,value,external_popularity_source
2486316,28913,0.0,Steam
3509496,28950,2.0276382693e-05,IGDB
109103,28950,1.4128129577e-05,IGDB
4766697,28950,7.477781641e-06,IGDB
4571327,28996,7.84896088e-07,IGDB
3610242,28996,9.10103788e-07,Steam
682908,28996,1.127650807e-06,Steam
2493484,28996,0.0,Steam
3610094,28996,8.74504455e-07,Steam
4751982,29147,3.738890821e-06,IGDB
3509552,29147,4.679165237e-06,IGDB
109180,29147,3.13958435e-06,IGDB
1124953,29147,4.804773003e-06,Steam
3609782,29147,8.98573385e-07,Steam
3609921,29147,1.44789239e-06,Steam
2493207,29147,0.0,Steam
3509570,29212,1.559721746e-06,IGDB
3611109,29212,8.022977e-09,Steam
685536,29212,0.0,Steam
3611270,29212,6.894726e-09,Steam
2493827,29212,0.0,Steam
6198,29360,9.438859786e-06,IGDB
4628753,29360,1.559721746e-06,IGDB
4748527,29360,7.84896088e-07,IGDB
680617,29360,1.274735695e-06,Steam
2493243,29360,0.0,Steam
3610196,29360,4.68841345e-07,Steam
3610047,29360,3.36965019e-07,Steam
6212,29631,9.438859786e-06,IGDB
4090488,29631,7.84896088e-07,IGDB
3187281,29631,1.83175781e-07,Steam
3609359,29631,1.251584357e-06,Steam
3192310,29631,1.078622511e-06,Steam
3609462,29631,1.227261169e-06,Steam
3509693,30064,3.119443491e-06,IGDB
109375,30064,7.064064788e-06,IGDB
3789279,30064,2.633785205e-06,Steam
3787657,30064,3.039754349e-06,Steam
3787953,30064,2.567352528e-06,Steam
3787180,30064,0.0,Steam
1187896,30089,3.43198072e-07,Steam
3610030,30089,1.24105062e-07,Steam
3609882,30089,8.8252743e-08,Steam
2493233,30089,0.0,Steam
6260,30380,9.438859786e-06,IGDB
4088871,30380,3.119443491e-06,IGDB
3988486,30380,1.569792175e-06,IGDB
3609724,30380,8.18343618e-07,Steam
2493409,30380,3.66351562e-07,Steam
686619,30380,2.010160134e-06,Steam
3609864,30380,9.85945771e-07,Steam
6261,30381,9.438859786e-06,IGDB
4491250,30381,1.559721746e-06,IGDB
3988487,30381,1.569792175e-06,IGDB
675435,30381,1.81404695e-06,Steam
2493208,30381,0.0,Steam
3609789,30381,9.92840496e-07,Steam
3609646,30381,8.58458502e-07,Steam
3609993,30453,1.516839647e-06,Steam
109486,30453,1.569792175e-06,IGDB
684824,30453,5.000886186e-06,Steam
3609848,30453,9.46711245e-07,Steam
2493234,30453,0.0,Steam
4571336,30468,7.84896088e-07,IGDB
679234,30468,9.31537623e-07,Steam
3610018,30468,3.44987996e-07,Steam
3610160,30468,4.27472991e-07,Steam
2493304,30468,0.0,Steam
3870850,30470,1.559721746e-06,IGDB
4354172,30470,1.569792175e-06,IGDB
3611150,30470,9.10103788e-07,Steam
686572,30470,1.666962062e-06,Steam
2493814,30470,0.0,Steam
3611000,30470,7.86251712e-07,Steam
4827918,30655,3.738890821e-06,IGDB
4829714,30655,1.559721746e-06,IGDB
1684723,30655,7.84896088e-07,IGDB
4143525,30655,2.374801088e-06,Steam
4145702,30655,0.0,Steam
4144669,30655,1.715990358e-06,Steam
4144987,30655,2.282154196e-06,Steam
4088882,30666,4.679165237e-06,IGDB
2486398,30666,0.0,Steam
3595763,30666,7.80635628e-06,Steam
658212,30666,1.608128107e-05,Steam
3595972,30666,8.970038094e-06,Steam
3842171,30756,7.84896088e-07,IGDB
2623845,30756,3.66351562e-07,Steam
3609422,30756,4.348453344e-06,Steam
3609542,30756,4.522940038e-06,Steam
682621,30756,5.589225738e-06,Steam
4752002,30894,3.738890821e-06,IGDB
4831370,921,0.0,Twitch
4834990,921,6.63915346e-07,Steam
3494377,921,1.7156939202e-05,IGDB
91436,921,1.648281784e-05,IGDB
3597299,921,3.626625701e-06,Steam
662739,921,4.706716411e-06,Steam
4674367,921,3.738890821e-06,IGDB
2487024,921,9.15878904e-07,Steam
3597079,921,3.449879959e-06,Steam
3496392,3279,9.358330474e-06,IGDB
93541,3279,1.0203649139e-05,IGDB
658177,3279,9.609546005e-06,Steam
3595539,3279,1.43611282e-06,Steam
3595744,3279,2.585522125e-06,Steam
2486349,3279,0.0,Steam
3497997,5540,1.5597217456e-05,IGDB
95449,5540,1.4128129577e-05,IGDB
3596716,5540,1.949583326e-06,Steam
661428,5540,3.971291972e-06,Steam
2486814,5540,0.0,Steam
3596943,5540,2.233891116e-06,Steam
4600567,5883,3.088413311e-06,Twitch
515509,5883,9.438859786e-06,IGDB
3498265,5883,2.1836104439e-05,IGDB
95730,5883,9.418753051e-06,IGDB
3966783,5883,3.738890821e-06,IGDB
3595829,5883,7.621827817e-06,Steam
2486936,5883,7.32703123e-07,Steam
3596035,5883,7.108462164e-06,Steam
661551,5883,3.971291972e-06,Steam
3498534,6282,1.4037495711e-05,IGDB
96038,6282,1.1773441314e-05,IGDB
3596619,6282,6.260410906e-06,Steam
3596405,6282,5.046452313e-06,Steam
2487018,6282,0.0,Steam
645861,6282,1.3678894569e-05,Steam
3981178,6613,3.119443491e-06,IGDB
96310,6613,3.924480438e-06,IGDB
3596125,6613,8.10320642e-07,Steam
889418,6613,6.373678473e-06,Steam
2486969,6613,0.0,Steam
3596336,6613,1.592681629e-06,Steam
2466,6732,2.8316579357e-05,IGDB
3498861,6732,2.495554793e-05,IGDB
96405,6732,1.7267713927e-05,IGDB
3597338,6732,6.225937278e-06,Steam
2487169,6732,0.0,Steam
661107,6732,1.3629866273e-05,Steam
3597170,6732,5.014360406e-06,Steam
4751206,7388,1.44769374e-07,Twitch
2679,7388,1.8877719571e-05,IGDB
3499404,7388,5.7709704589e-05,IGDB
96986,7388,5.0233349607e-05,IGDB
4705367,7388,1.1216672462e-05,IGDB
2486927,7388,0.0,Steam
3596648,7388,2.1252865145e-05,Steam
3596870,7388,1.9553441994e-05,Steam
633384,7388,9.168291342e-06,Steam
2687,7407,9.438859786e-06,IGDB
3499419,7407,1.7156939202e-05,IGDB
97004,7407,1.1773441314e-05,IGDB
633269,7407,5.589225738e-06,Steam
2487047,7407,3.66351562e-07,Steam
4684022,7407,7.477781641e-06,IGDB
3597253,7407,3.923235582e-06,Steam
3597423,7407,4.157519578e-06,Steam
3500236,8510,6.238886983e-06,IGDB
97900,8510,7.064064788e-06,IGDB
2486723,8510,0.0,Steam
3596669,8510,2.392469807e-06,Steam
660710,8510,3.284895828e-06,Steam
3596452,8510,2.246433462e-06,Steam
3995290,8585,4.679165237e-06,IGDB
97962,8585,7.848960876e-06,IGDB
3595650,8585,1.564480447e-06,Steam
3595857,8585,2.006365169e-06,Steam
2486751,8585,0.0,Steam
666851,8585,4.706716411e-06,Steam
4830270,8642,0.0,Twitch
3500316,8642,4.679165237e-06,IGDB
98001,8642,9.418753051e-06,IGDB
3597503,8642,3.309468321e-06,Steam
3597366,8642,3.32953531e-06,Steam
662046,8642,3.186839236e-06,Steam
2487265,8642,0.0,Steam
659448,8757,3.824207084e-06,Steam
3500395,8757,3.119443491e-06,IGDB
3841940,8757,3.924480438e-06,IGDB
2487181,8757,0.0,Steam
3597146,8757,7.46136828e-07,Steam
3597328,8757,1.178998089e-06,Steam
3500436,8802,1.4037495711e-05,IGDB
1334730,8802,3.924480438e-06,IGDB
2486696,8802,5.49527342e-07,Steam
3596513,8802,2.11668078e-06,Steam
660558,8802,1.56890547e-06,Steam
3596302,8802,2.206318579e-06,Steam
4787527,9220,3.738890821e-06,IGDB
4635307,9220,1.559721746e-06,IGDB
2287621,9220,3.924480438e-06,IGDB
3211,9268,9.438859786e-06,IGDB
4353206,9268,4.679165237e-06,IGDB
2287620,9268,4.709376526e-06,IGDB
3597195,9268,2.840133734e-06,Steam
3597361,9268,3.116416002e-06,Steam
2487206,9268,3.66351562e-07,Steam
661315,9268,4.804773003e-06,Steam
3862107,9454,0.000346240086012,Twitch
4570186,9454,3.119443491e-06,IGDB
3956307,9454,2.354688263e-06,IGDB
2487410,9454,0.0,Steam
4705399,9454,1.8694454103e-05,IGDB
3597461,9454,1.41204389e-06,Steam
662182,9454,9.413432822e-06,Steam
3597612,9454,2.537259046e-06,Steam
3282,9561,1.8877719571e-05,IGDB
3500927,9561,9.358330474e-06,IGDB
98718,9561,3.924480438e-06,IGDB
3596309,9561,1.737470868e-06,Steam
2486497,9561,0.0,Steam
3596102,9561,1.901445466e-06,Steam
660501,9561,7.35424439e-07,Steam
3501028,9696,3.119443491e-06,IGDB
3841950,9696,6.279168701e-06,IGDB
3595895,9696,1.178998089e-06,Steam
657346,9696,2.108216726e-06,Steam
3595688,9696,1.026941011e-06,Steam
2486649,9696,0.0,Steam
3501115,9841,9.358330474e-06,IGDB
3846696,9841,1.569792175e-06,IGDB
3596363,9841,1.985680992e-06,Steam
2486496,9841,0.0,Steam
658735,9841,3.137810941e-06,Steam
3596147,9841,1.79714677e-06,Steam
3365,9846,9.438859786e-06,IGDB
3501118,9846,4.679165237e-06,IGDB
98943,9846,1.4913025665e-05,IGDB
2487009,9846,1.83175781e-07,Steam
3596140,9846,8.793182408e-06,Steam
640594,9846,8.383838607e-06,Steam
3596354,9846,8.735617421e-06,Steam
3856418,9946,9.6512916e-08,Twitch
3394,9946,9.438859786e-06,IGDB
3501183,9946,4.679165237e-06,IGDB
99021,9946,3.13958435e-06,IGDB
2486956,9946,0.0,Steam
1104270,9946,4.363518339e-06,Steam
3597118,9946,9.149300961e-06,Steam
3596893,9946,9.932445092e-06,Steam
3595897,9965,1.571997452e-06,Steam
3501200,9965,9.358330474e-06,IGDB
99038,9965,7.064064788e-06,IGDB
3595691,9965,8.90550408e-07,Steam
658303,9965,5.736310626e-06,Steam
2486746,9965,0.0,Steam
3596362,10063,3.698592236e-06,Steam
661275,10063,5.098942778e-06,Steam
3412,10063,9.438859786e-06,IGDB
3501233,10063,2.6515269676e-05,IGDB
99085,10063,7.064064788e-06,IGDB
4765958,10063,3.738890821e-06,IGDB
2487056,10063,3.66351562e-07,Steam
3596573,10063,3.895520002e-06,Steam
3501378,10313,1.559721746e-06,IGDB
3841966,10313,3.924480438e-06,IGDB
3597094,10313,9.78803151e-07,Steam
662892,10313,9.364404526e-06,Steam
2487117,10313,1.83175781e-07,Steam
3597302,10313,2.158049134e-06,Steam
661365,10472,2.353358205e-06,Steam
4357810,10472,3.119443491e-06,IGDB
99351,10472,7.064064788e-06,IGDB
3597159,10472,1.059032918e-06,Steam
2487115,10472,0.0,Steam
3597333,10472,1.24105062e-06,Steam
3501449,10481,6.238886983e-06,IGDB
99350,10481,3.924480438e-06,IGDB
660374,10481,6.716876545e-06,Steam
3596294,10481,1.757031886e-06,Steam
3596508,10481,2.454522338e-06,Steam
2486551,10481,0.0,Steam
3870789,10489,3.119443491e-06,IGDB
99361,10489,9.418753051e-06,IGDB
3596056,10489,4.798729065e-06,Steam
3595846,10489,5.271095659e-06,Steam
2486375,10489,0.0,Steam
660709,10489,1.912103542e-06,Steam
